gene tissue chr pos LRstat logP
FBgn0000018 Body 3R 90000 21.4095217044605 2.49362520453492
FBgn0000018 Body 3R 1e+05 21.2591437091287 2.46788897925822
FBgn0000018 Body 3R 110000 22.329093882739 2.65192644585845
FBgn0000018 Body 3R 120000 23.401219508432 2.83838022976624
FBgn0000018 Body 3R 130000 20.0154856040845 2.25677791532408
FBgn0000018 Body 3R 140000 24.6998935197598 3.06673734487862
FBgn0000018 Body 3R 150000 32.2488995750823 4.43747412509917
FBgn0000018 Body 3R 160000 19.5715330588555 2.1822061335562
FBgn0000018 Body 3R 170000 19.2158470844543 2.12277852770112
FBgn0000018 Body 3R 180000 23.0668776025182 2.78002564883692
FBgn0000018 Body 3R 190000 19.3397700043402 2.14345068603244
FBgn0000018 Body 3R 2e+05 18.950182436206 2.07858198288228
FBgn0000018 Body 3R 210000 19.6013957025921 2.18720857338612
FBgn0000018 Body 3R 220000 18.8231159083334 2.05750179391052
FBgn0000018 Body 3R 230000 19.5363740594485 2.17631903617258
FBgn0000018 Body 3R 240000 18.8242135788059 2.05768373108533
FBgn0000018 Body 3R 250000 18.9126625462522 2.07235347654299
FBgn0000018 Body 3R 260000 19.2138160971936 2.12244002403023
FBgn0000018 Body 3R 270000 22.1263506327596 2.61689180495907
FBgn0000018 Body 3R 280000 20.2759445696024 2.30072656449821
FBgn0000018 Body 3R 290000 19.5928970323866 2.18578471583079
FBgn0000018 Body 3R 3e+05 19.0807239726787 2.10027850738098
FBgn0000018 Body 3R 310000 18.7737801529947 2.04932745572602
FBgn0000018 Body 3R 320000 21.8572389386168 2.5705033664836
FBgn0000018 Body 3R 330000 20.0200002860588 2.25753846675116
FBgn0000018 Body 3R 340000 19.8009337148369 2.22068506280445
FBgn0000018 Body 3R 350000 19.4046524044097 2.15428805541011
FBgn0000018 Body 3R 360000 18.7186409287578 2.04019848993202
FBgn0000018 Body 3R 370000 18.612328057397 2.02261791142042
FBgn0000018 Body 3R 380000 18.5582097140659 2.01367914822095
FBgn0000018 Body 3R 390000 24.8533947886908 3.09389891717016
FBgn0000018 Body 3R 4e+05 24.701352226798 3.06699529466438
FBgn0000018 Body 3R 410000 18.5993849449405 2.02047943619095
FBgn0000018 Body 3R 420000 21.2220893416152 2.46155407269976
FBgn0000018 Body 3R 430000 18.4492048827506 1.99569662324794
FBgn0000018 Body 3R 440000 18.8088253091755 2.05513341298556
FBgn0000018 Body 3R 450000 21.7906090008269 2.5590384847881
FBgn0000018 Body 3R 460000 29.5624879628581 3.94231210742988
FBgn0000018 Body 3R 470000 18.4194855302803 1.99079892496318
FBgn0000018 Body 3R 480000 18.9921828530541 2.08555823729382
FBgn0000018 Body 3R 490000 21.1296308444867 2.44575879725388
FBgn0000018 Body 3R 5e+05 23.988150720847 2.94125977943656
FBgn0000018 Body 3R 510000 22.3908504957021 2.66261274084387
FBgn0000018 Body 3R 520000 18.2372003760429 1.96080695603964
FBgn0000018 Body 3R 530000 22.166324666146 2.62379360037975
FBgn0000018 Body 3R 540000 23.6203341090572 2.87672294030389
